sample_id,cluster_label
0,3
1,3
2,2
3,2
4,2
5,1
6,3
7,1
8,3
9,0
10,0
11,1
12,3
13,2
14,0
15,0
16,2
17,1
18,2
19,2
20,3
21,0
22,1
23,3
24,3
25,3
26,3
27,3
28,1
29,3
30,1
31,1
32,2
33,2
34,0
35,3
36,1
37,1
38,3
39,1
40,0
41,0
42,0
43,2
44,3
45,1
46,1
47,3
48,2
49,2
50,2
51,3
52,0
53,0
54,0
55,3
56,3
57,1
58,0
59,2
60,1
61,1
62,2
63,3
64,2
65,3
66,1
67,3
68,2
69,1
70,1
71,2
72,0
73,1
74,0
75,0
76,0
77,3
78,1
79,1
80,2
81,0
82,0
83,1
84,2
85,0
86,3
87,2
88,1
89,2
90,2
91,3
92,0
93,3
94,3
95,1
96,2
97,1
98,2
99,2
100,0
101,2
102,2
103,2
104,1
105,0
106,0
107,1
108,0
109,0
110,1
111,1
112,2
113,1
114,1
115,3
116,0
117,1
118,3
119,1
120,0
121,1
122,0
123,1
124,3
125,0
126,3
127,1
128,0
129,0
130,3
131,0
132,1
133,3
134,3
135,0
136,1
137,0
138,1
139,0
140,3
141,2
142,2
143,2
144,3
145,3
146,0
147,3
148,0
149,0
150,3
151,3
152,2
153,0
154,1
155,2
156,0
157,0
158,2
159,1
160,2
161,1
162,1
163,2
164,0
165,3
166,3
167,2
168,3
169,0
170,1
171,0
172,0
173,2
174,0
175,3
176,2
177,0
178,0
179,0
180,1
181,1
182,1
183,1
184,3
185,2
186,0
187,0
188,1
189,0
190,2
191,1
192,0
193,3
194,1
195,1
196,3
197,1
198,2
199,1
200,1
201,2
202,1
203,2
204,3
205,0
206,2
207,3
208,2
209,0
210,0
211,2
212,1
213,2
214,0
215,1
216,1
217,1
218,3
219,2
220,0
221,0
222,0
223,2
224,3
225,0
226,1
227,0
228,0
229,1
230,2
231,0
232,1
233,0
234,1
235,0
236,3
237,3
238,1
239,0
240,3
241,1
242,3
243,3
244,2
245,2
246,2
247,2
248,1
249,3
250,3
251,0
252,0
253,1
254,0
255,0
256,0
257,2
258,2
259,3
260,0
261,3
262,2
263,0
264,0
265,3
266,2
267,0
268,2
269,2
270,1
271,1
272,1
273,3
274,3
275,0
276,2
277,1
278,1
279,1
280,2
281,1
282,1
283,1
284,3
285,1
286,2
287,3
288,3
289,3
290,0
291,2
292,0
293,2
294,0
295,2
296,2
297,3
298,0
299,0
300,0
301,3
302,3
303,2
304,0
305,1
306,0
307,1
308,1
309,0
310,0
311,2
312,3
313,1
314,0
315,1
316,0
317,2
318,0
319,1
320,3
321,1
322,2
323,0
324,3
325,3
326,1
327,0
328,3
329,1
330,2
331,2
332,1
333,0
334,2
335,1
336,3
337,1
338,3
339,0
340,1
341,2
342,1
343,3
344,2
345,0
346,2
347,0
348,1
349,1
350,2
351,3
352,2
353,0
354,3
355,2
356,3
357,0
358,3
359,2
360,0
361,1
362,3
363,3
364,1
365,0
366,3
367,0
368,2
369,0
370,0
371,2
372,0
373,2
374,2
375,0
376,0
377,3
378,2
379,3
380,2
381,2
382,2
383,0
384,3
385,1
386,1
387,0
388,1
389,0
390,3
391,1
392,0
393,3
394,3
395,0
396,3
397,1
398,1
399,1
400,0
401,0
402,0
403,0
404,2
405,1
406,0
407,3
408,0
409,3
410,2
411,3
412,1
413,1
414,1
415,1
416,2
417,1
418,2
419,0
420,3
421,0
422,1
423,0
424,3
425,3
426,3
427,3
428,1
429,3
430,1
431,1
432,2
433,3
434,2
435,2
436,1
437,1
438,1
439,3
440,0
441,2
442,0
443,2
444,2
445,2
446,2
447,0
448,0
449,2
450,2
451,3
452,2
453,2
454,1
455,0
456,3
457,2
458,1
459,0
460,1
461,1
462,1
463,3
464,2
465,0
466,0
467,3
468,3
469,0
470,3
471,0
472,3
473,1
474,0
475,0
476,0
477,3
478,3
479,2
480,0
481,0
482,1
483,0
484,3
485,2
486,1
487,1
488,1
489,0
490,0
491,3
492,2
493,2
494,1
495,3
496,1
497,2
498,1
499,3
500,3
501,0
502,3
503,1
504,2
505,1
506,0
507,0
508,0
509,3
510,2
511,2
512,2
513,1
514,0
515,2
516,1
517,1
518,2
519,0
520,0
521,2
522,2
523,3
524,3
525,3
526,1
527,1
528,0
529,0
530,3
531,1
532,3
533,2
534,3
535,0
536,0
537,2
538,2
539,3
540,3
541,1
542,3
543,2
544,3
545,2
546,1
547,0
548,3
549,0
550,3
551,0
552,3
553,0
554,2
555,0
556,1
557,2
558,2
559,1
560,0
561,3
562,1
563,1
564,2
565,2
566,2
567,2
568,1
569,2
570,2
571,0
572,2
573,2
574,3
575,1
576,3
577,2
578,1
579,2
580,0
581,2
582,3
583,1
584,2
585,0
586,0
587,1
588,1
589,2
590,1
591,2
592,3
593,3
594,1
595,3
596,3
597,0
598,1
599,0
600,0
601,3
602,3
603,0
604,2
605,0
606,0
607,3
608,3
609,1
610,1
611,0
612,3
613,1
614,2
615,0
616,0
617,1
618,3
619,0
620,2
621,0
622,3
623,0
624,1
625,0
626,0
627,3
628,1
629,0
630,1
631,1
632,3
633,0
634,0
635,3
636,1
637,2
638,1
639,0
640,3
641,1
642,1
643,2
644,0
645,0
646,3
647,3
648,2
649,3
650,1
651,0
652,1
653,2
654,3
655,2
656,2
657,2
658,0
659,3
660,1
661,0
662,3
663,1
664,2
665,3
666,2
667,2
668,3
669,0
670,0
671,2
672,1
673,0
674,2
675,0
676,0
677,1
678,3
679,3
680,1
681,0
682,1
683,0
684,1
685,2
686,3
687,3
688,0
689,1
690,1
691,0
692,0
693,3
694,2
695,3
696,3
697,3
698,0
699,2
700,3
701,1
702,3
703,2
704,2
705,2
706,1
707,3
708,0
709,2
710,0
711,1
712,3
713,3
714,2
715,1
716,2
717,0
718,1
719,2
720,1
721,3
722,3
723,2
724,1
725,2
726,0
727,2
728,0
729,1
730,2
731,2
732,0
733,0
734,3
735,3
736,2
737,2
738,2
739,1
740,0
741,0
742,3
743,1
744,2
745,0
746,3
747,1
748,2
749,3
750,0
751,1
752,1
753,3
754,3
755,3
756,1
757,1
758,2
759,1
760,0
761,3
762,3
763,2
764,2
765,0
766,2
767,3
768,1
769,0
770,1
771,2
772,1
773,0
774,3
775,0
776,0
777,1
778,1
779,1
780,1
781,1
782,2
783,2
784,2
785,0
786,0
787,3
788,2
789,1
790,2
791,2
792,2
793,0
794,3
795,1
796,3
797,1
798,2
799,2
800,3
801,0
802,2
803,1
804,2
805,3
806,0
807,2
808,2
809,3
810,0
811,0
812,1
813,3
814,1
815,1
816,0
817,0
818,1
819,1
820,0
821,3
822,2
823,0
824,2
825,3
826,3
827,3
828,0
829,3
830,3
831,3
832,2
833,0
834,3
835,1
836,3
837,1
838,0
839,2
840,1
841,0
842,1
843,3
844,1
845,1
846,3
847,3
848,2
849,0
850,1
851,0
852,3
853,3
854,3
855,2
856,1
857,0
858,1
859,1
860,0
861,1
862,0
863,3
864,0
865,1
866,3
867,3
868,1
869,1
870,3
871,2
872,1
873,0
874,3
875,3
876,0
877,1
878,1
879,2
