LIMIT_BAL,EDUCATION,MARRIAGE,AGE,max_delay,mean_delay,n_months_delayed,avg_bill_amt,avg_pay_amt,payment_to_bill_ratio,credit_utilization,bill_trend,default
20000,2,1,24,2,-0.3333333333333333,2,1284.0,114.83333333333333,0.08942245295262817,0.0642,-844.5714285714286,1
120000,2,2,26,2,0.5,2,2846.1666666666665,833.3333333333334,0.29277432954678534,0.023718055555555555,247.85714285714286,1
90000,2,2,34,0,0.0,0,16942.166666666668,1836.3333333333333,0.10838727448009916,0.1882462962962963,-1854.7142857142858,0
50000,2,1,37,0,0.0,0,38555.666666666664,1398.0,0.03625910476149307,0.7711133333333333,-4743.257142857143,0
50000,2,1,57,0,-0.3333333333333333,0,18223.166666666668,9841.5,0.5400493872324859,0.36446333333333336,2231.5142857142855,0
50000,1,2,37,0,0.0,0,39685.666666666664,1295.3333333333333,0.03263969090565483,0.7937133333333333,-10641.257142857143,0
500000,1,2,29,0,0.0,0,454099.1666666667,30126.5,0.0663434138492459,0.9081983333333333,24013.742857142857,0
100000,2,2,23,0,-0.5,0,2247.6666666666665,798.5,0.3552309631496997,0.022476666666666666,-1672.6285714285714,0
140000,3,1,28,2,0.3333333333333333,1,10868.666666666666,1126.8333333333333,0.10367564749359791,0.07763333333333333,-1275.3142857142857,0
20000,3,2,35,-1,-1.6666666666666667,0,4486.5,2354.8333333333335,0.524851411589896,0.224325,3102.3142857142857,0
200000,3,2,34,2,0.16666666666666666,1,5744.5,1078.6666666666667,0.18776836486016016,0.0287225,-1817.4,0
260000,1,2,51,2,-0.5,1,14728.166666666666,11051.333333333334,0.75034513975331,0.05664679487179487,212.4857142857143,0
630000,2,2,41,0,-0.8333333333333334,0,6834.5,3895.0,0.5698888021849395,0.0108484126984127,-1323.857142857143,0
70000,2,2,30,2,1.1666666666666667,4,56447.5,1783.3333333333333,0.031592684669575946,0.8063928571428571,-6775.857142857143,1
250000,1,2,29,0,0.0,0,62265.166666666664,3000.0,0.048180903231332575,0.24906066666666665,-3179.8571428571427,0
